Diet_type,Recipe_name,Cuisine_type,Protein(g),Carbs(g),Fat(g),Extraction_day,Extraction_time
paleo,aunt rocky s chorizo spaghetti squash casserole low carb,italian,126.73,77.95,197.8,2022-10-16,17:27:31
paleo,smoked salmon deviled eggs,nordic,72.44,9.31,228.93,2022-10-16,17:27:31
paleo,cauliflower puree,mediterranean,14.68,49.71,47.87,2022-10-16,17:27:31
paleo,caesar dressing,mediterranean,20.16,9.07,497.18,2022-10-16,17:27:31
paleo,ginger snaps,italian,95.94,152.11,226.9,2022-10-16,17:27:31
paleo,zuppa toscana,italian,179.75,261.94,425.47,2022-10-16,17:27:31
paleo,hummus,mediterranean,11.66,20.89,24.94,2022-10-16,17:27:31
paleo,banana bread,american,35.68,134.46,62.16,2022-10-16,17:27:31
paleo,turkey meatballs,american,195.62,33.54,79.05,2022-10-16,17:27:31
paleo,banana muffins,american,85.78,200.52,260.37,2022-10-16,17:27:31
paleo,jamerican burger,nordic,98.81,32.99,64.72,2022-10-16,17:27:38
paleo,pizza crust,italian,44.0,86.7,84.35,2022-10-16,17:27:38
paleo,zucchini burger,american,25.16,49.41,20.0,2022-10-16,17:27:38
paleo,meatballs,french,170.29,21.84,190.17,2022-10-16,17:27:38
paleo,low carb broiled asian chicken thighs,chinese,149.89,13.87,49.44,2022-10-16,17:27:38
paleo,clafoutis gf,french,62.38,171.71,143.8,2022-10-16,17:27:38
paleo,whole potato salad,mediterranean,10.4,86.61,60.05,2022-10-16,17:27:38
paleo,greek chicken,mediterranean,103.21,8.28,120.13,2022-10-16,17:27:38
paleo,crepes,french,28.52,83.51,66.12,2022-10-16,17:27:38
paleo,spicy avocado shrimp tower,south american,7.46,24.73,87.84,2022-10-16,17:27:38
paleo,barilla turkey sausage meatball hero subs giveaway,american,149.37,161.26,67.43,2022-10-16,17:27:38
paleo,berry cobbler,french,70.95,495.23,258.21,2022-10-16,17:27:45
paleo,cheesecake,mediterranean,46.61,112.79,239.75,2022-10-16,17:27:45
paleo,eggplant meatballs,eastern europe,34.86,81.96,71.02,2022-10-16,17:27:45
paleo,chicken strips,american,120.01,13.19,115.84,2022-10-16,17:27:45
paleo,turkey meatballs,american,142.25,147.48,353.72,2022-10-16,17:27:45
paleo,chicken tenders,american,79.75,175.06,81.41,2022-10-16,17:27:45
paleo,pot roast crock pot,chinese,323.19,230.68,74.72,2022-10-16,17:27:45
paleo,peppermint patties,american,26.8,227.58,233.46,2022-10-16,17:27:45
paleo,stuffed peppers,italian,212.2,126.47,233.63,2022-10-16,17:27:45
paleo,pita chips,french,55.69,45.56,112.34,2022-10-16,17:27:45
paleo,pulled pork,american,363.86,41.0,258.48,2022-10-16,17:27:53
paleo,sesame pasta,italian,35.12,70.83,237.2,2022-10-16,17:27:53
paleo,white christmas,mediterranean,34.52,80.74,102.14,2022-10-16,17:27:53
paleo,salisbury steak,british,200.74,47.0,170.27,2022-10-16,17:27:53
paleo,taco bowl,mexican,21.47,11.82,26.3,2022-10-16,17:27:53
paleo,crockpot drumsticks,american,125.17,37.02,62.51,2022-10-16,17:27:53
paleo,blueberry cobbler,american,34.41,144.65,130.08,2022-10-16,17:27:53
paleo,yummy flatbread,american,7.16,5.48,11.53,2022-10-16,17:27:53
paleo,pizza crust,italian,56.89,154.26,135.9,2022-10-16,17:27:53
paleo,baked chicken,american,293.67,43.68,141.43,2022-10-16,17:27:53
paleo,guacamole,mexican,4.98,22.1,29.73,2022-10-16,17:27:53
paleo,pumpkin dutch baby,central europe,51.94,78.05,132.72,2022-10-16,17:27:53
paleo,peach crisp,american,39.58,126.88,97.83,2022-10-16,17:27:53
paleo,chicken marsala,italian,81.21,14.37,100.85,2022-10-16,17:27:53
paleo,salmon cobb salad,nordic,86.32,52.34,193.65,2022-10-16,17:27:59
paleo,pulled pork,american,240.95,21.38,170.76,2022-10-16,17:27:59
paleo,coleslaw,mediterranean,8.05,49.05,89.95,2022-10-16,17:27:59
paleo,braised cabbage,french,21.85,113.36,69.95,2022-10-16,17:27:59
paleo,cauliflower tabouli,middle eastern,9.04,30.15,28.7,2022-10-16,17:27:59
paleo,gyros,mediterranean,156.23,22.07,197.86,2022-10-16,17:27:59
paleo,carrot cake,american,28.87,176.52,124.04,2022-10-16,17:27:59
paleo,sandwich bread,nordic,82.9,96.1,203.88,2022-10-16,17:27:59
paleo,carrot cake,british,56.59,372.24,166.67,2022-10-16,17:27:59
paleo,everyday meatloaf,american,222.77,73.67,180.94,2022-10-16,17:27:59
paleo,chicken tacos,mexican,88.54,25.39,90.34,2022-10-16,17:27:59
paleo,whole meatballs,italian,49.65,25.33,31.86,2022-10-16,17:28:06
paleo,grilled cilantro lime chicken,mediterranean,137.17,20.55,43.28,2022-10-16,17:28:06
paleo,min microwave chocolate cake gf,american,14.34,43.94,44.76,2022-10-16,17:28:06
paleo,broiled burger,american,147.0,98.03,245.1,2022-10-16,17:28:06
paleo,cabbage hash,french,94.84,47.81,54.27,2022-10-16,17:28:06
paleo,vanilla wafers,american,54.39,171.17,173.06,2022-10-16,17:28:06
paleo,strawberry sundae,american,78.6,428.36,388.56,2022-10-16,17:28:06
paleo,lamingtons,french,57.82,215.83,226.98,2022-10-16,17:28:06
paleo,fudgy brownies,french,82.58,181.14,215.9,2022-10-16,17:28:06
paleo,crock pot chile verde,mexican,201.78,29.12,81.49,2022-10-16,17:28:06
paleo,zucchini hummus,mediterranean,13.47,25.56,47.07,2022-10-16,17:28:06
paleo,venison burgers,french,108.33,30.05,39.3,2022-10-16,17:28:06
paleo,pumpkin scones,british,99.59,336.0,235.0,2022-10-16,17:28:13
paleo,chocolate pudding,british,19.89,122.56,101.95,2022-10-16,17:28:13
paleo,orange chicken,french,110.54,52.28,39.95,2022-10-16,17:28:13
paleo,hamburger soup,nordic,140.81,255.09,63.29,2022-10-16,17:28:13
paleo,honey cake,kosher,87.32,258.25,207.98,2022-10-16,17:28:13
paleo,fried chicken,american,208.66,32.76,375.11,2022-10-16,17:28:13
paleo,tasty borscht,nordic,15.58,86.02,25.4,2022-10-16,17:28:13
paleo,delicious meatballs,american,196.24,26.33,247.65,2022-10-16,17:28:13
paleo,zuppa toscana,italian,123.43,124.25,194.74,2022-10-16,17:28:13
paleo,gluten free buckwheat blinis all fixings,eastern europe,38.05,140.05,129.25,2022-10-16,17:28:13
paleo,asian meatballs,indian,155.39,13.86,206.43,2022-10-16,17:28:13
paleo,coffee creamer,french,10.48,183.87,47.85,2022-10-16,17:28:13
paleo,cantaloupe custard,french,18.09,77.28,73.54,2022-10-16,17:28:13
paleo,bunny bites,american,39.14,114.78,142.85,2022-10-16,17:28:13
paleo,fettuccine alfredo,italian,69.5,237.82,25.43,2022-10-16,17:28:19
paleo,pie crust,american,49.41,83.14,129.24,2022-10-16,17:28:19
paleo,paella,mediterranean,114.28,67.22,23.74,2022-10-16,17:28:19
paleo,pita crisps,mediterranean,52.77,543.93,1094.53,2022-10-16,17:28:19
paleo,chocolate pudding,british,38.41,187.18,204.57,2022-10-16,17:28:19
paleo,baked apples pecan crumble primal gaps,american,17.04,196.36,153.33,2022-10-16,17:28:19
paleo,chicken piccata,italian,114.48,38.79,146.83,2022-10-16,17:28:19
paleo,pizza quiches,italian,68.7,16.57,86.7,2022-10-16,17:28:19
paleo,meatballs,french,94.91,9.62,62.19,2022-10-16,17:28:19
paleo,gluten free caramelized onion gravy,eastern europe,2.91,52.72,54.94,2022-10-16,17:28:19
paleo,pineapple muffins,british,78.26,90.12,180.1,2022-10-16,17:28:19
paleo,pho slow cooker pulled pork sandwiches,american,284.71,240.0,268.1,2022-10-16,17:28:19
paleo,beef jerky,american,259.42,103.71,96.66,2022-10-16,17:28:19
paleo,venison stroganoff,eastern europe,171.5,59.19,132.4,2022-10-16,17:28:19
paleo,mushroom risotto,italian,27.18,92.53,59.88,2022-10-16,17:28:26
paleo,skillet frittata,italian,95.19,51.98,103.55,2022-10-16,17:28:26
paleo,pig burger,french,215.41,54.5,248.86,2022-10-16,17:28:26
paleo,salmon slaw,nordic,165.67,25.68,200.27,2022-10-16,17:28:26
paleo,banana muffins,british,101.95,204.31,286.85,2022-10-16,17:28:26
paleo,chocolate chippers,french,286.58,822.4,979.01,2022-10-16,17:28:26
paleo,cashews fudge,french,50.26,225.6,141.56,2022-10-16,17:28:26
paleo,pumpkin pie,american,46.99,331.12,136.78,2022-10-16,17:28:26
paleo,gingersnaps,british,43.14,289.83,136.28,2022-10-16,17:28:26
paleo,pepperoni pizza,italian,66.53,212.2,71.37,2022-10-16,17:28:26
paleo,ish sangria,world,7.08,110.19,1.18,2022-10-16,17:28:26
paleo,strawberry crumble,british,14.7,154.05,64.63,2022-10-16,17:28:33
paleo,lemon bars,american,33.65,272.71,143.06,2022-10-16,17:28:33
paleo,gingersnaps,british,76.06,245.59,206.39,2022-10-16,17:28:33
paleo,banana loaf,british,65.05,169.97,121.5,2022-10-16,17:28:33
paleo,energy bites,french,40.56,182.5,183.14,2022-10-16,17:28:33
paleo,cake,american,54.06,199.51,244.21,2022-10-16,17:28:33
paleo,chocolate cake,american,59.12,213.93,153.54,2022-10-16,17:28:33
paleo,beef curry,south east asian,112.87,76.07,111.59,2022-10-16,17:28:33
paleo,chicken nuggets,american,175.8,40.7,158.93,2022-10-16,17:28:33
paleo,salmon lemon ginger marinade,nordic,95.45,20.67,88.85,2022-10-16,17:28:33
paleo,shrimp scampi,chinese,94.63,21.46,12.7,2022-10-16,17:28:33
paleo,coffee cake,american,67.02,311.15,242.85,2022-10-16,17:28:33
paleo,sandwich bread,nordic,82.9,96.1,203.88,2022-10-16,17:28:33
paleo,pizza,italian,78.8,24.95,119.75,2022-10-16,17:28:40
paleo,chicken parma,italian,178.18,285.14,271.06,2022-10-16,17:28:40
paleo,creamy fudge,american,16.83,232.82,253.79,2022-10-16,17:28:40
paleo,steak diane,american,63.68,8.04,82.25,2022-10-16,17:28:40
paleo,slow cooker chicken pot pie gluten free dairy free,american,245.93,128.16,72.98,2022-10-16,17:28:40
paleo,chicken creole,american,83.36,39.13,45.01,2022-10-16,17:28:40
paleo,lemon cake,italian,14.61,187.9,38.98,2022-10-16,17:28:40
paleo,shrimp scampi,chinese,94.64,21.55,12.71,2022-10-16,17:28:40
paleo,strawberry galette,french,5.97,13.82,5.75,2022-10-16,17:28:40
paleo,vals ketchup,italian,10.16,83.67,1.52,2022-10-16,17:28:46
paleo,deviled eggs garlic parsley healthy natural,french,40.66,7.92,76.44,2022-10-16,17:28:46
paleo,spaghetti carbonara,italian,80.93,46.8,198.95,2022-10-16,17:28:46
paleo,chicken veloute,american,258.98,696.3,234.84,2022-10-16,17:28:46
paleo,chili,american,292.46,96.19,138.73,2022-10-16,17:28:46
paleo,zucchini fritters,south east asian,18.02,39.43,10.15,2022-10-16,17:28:46
paleo,taco salad,mexican,96.83,93.25,232.5,2022-10-16,17:28:46
paleo,beef stew,american,234.83,145.29,51.71,2022-10-16,17:28:46
paleo,shrimp linguini gluten free grain free,italian,43.06,33.92,55.64,2022-10-16,17:28:46
paleo,salmon croquette,nordic,41.97,40.54,51.19,2022-10-16,17:28:46
paleo,berry crumble,french,86.07,236.88,212.25,2022-10-16,17:28:46
paleo,gluten free buckwheat blinis all fixings,eastern europe,38.05,140.05,129.25,2022-10-16,17:28:46
paleo,pizza crust,italian,53.81,81.55,122.71,2022-10-16,17:28:46
paleo,antipasto salad,italian,24.91,44.96,95.18,2022-10-16,17:28:46
paleo,cowboy chili,american,161.78,90.59,208.39,2022-10-16,17:28:46
paleo,elk chili,american,286.03,110.86,231.19,2022-10-16,17:28:53
paleo,christmas pudding,british,68.83,427.12,256.43,2022-10-16,17:28:53
paleo,fudgy brownies,french,53.12,237.39,247.94,2022-10-16,17:28:53
paleo,stuffed cabbage,middle eastern,229.77,232.27,217.06,2022-10-16,17:28:53
paleo,broccoli salad,american,23.77,43.62,96.87,2022-10-16,17:28:53
paleo,gingerbread cake,american,87.36,174.46,247.75,2022-10-16,17:28:53
paleo,gluten free herbed chicken biscui,french,78.65,58.36,94.28,2022-10-16,17:28:53
paleo,coffee cake,american,81.97,94.52,200.18,2022-10-16,17:28:53
paleo,blueberry bars,american,92.97,1628.09,195.87,2022-10-16,17:28:53
paleo,onion bacon rosemary dip dairy free option,american,22.71,47.18,208.94,2022-10-16,17:28:53
paleo,watercress soup,french,43.8,86.63,107.0,2022-10-16,17:28:53
paleo,beef stroganoff,eastern europe,109.57,33.41,183.38,2022-10-16,17:29:00
paleo,harvest stuffed sweet potatoes,american,12.23,186.71,24.24,2022-10-16,17:29:00
paleo,seafood chili,american,111.9,73.58,24.01,2022-10-16,17:29:00
paleo,empanadas,south american,100.52,258.19,107.18,2022-10-16,17:29:00
paleo,blueberry muffins,british,156.8,770.8,251.17,2022-10-16,17:29:00
paleo,banana muffins,american,71.16,171.09,198.55,2022-10-16,17:29:00
paleo,blueberry almond chicken salad,american,99.12,36.69,135.75,2022-10-16,17:29:00
paleo,lettuce wraps,american,108.99,45.41,90.71,2022-10-16,17:29:00
paleo,crab cakes,eastern europe,103.0,18.43,63.56,2022-10-16,17:29:00
paleo,orange chicken,french,97.53,54.15,60.35,2022-10-16,17:29:00
paleo,popcorn chicken,american,109.81,264.74,208.88,2022-10-16,17:29:00
paleo,seafood chowder,american,233.41,204.85,214.69,2022-10-16,17:29:00
paleo,spicy chili,american,194.54,99.84,119.95,2022-10-16,17:29:00
paleo,ketchup,italian,11.34,225.53,1.71,2022-10-16,17:29:00
paleo,sandwich bread,nordic,75.03,110.71,150.27,2022-10-16,17:29:07
paleo,chicken soup,american,240.89,79.86,89.39,2022-10-16,17:29:07
paleo,tortillas,mediterranean,25.82,82.77,77.45,2022-10-16,17:29:07
paleo,fajita meatza,mexican,284.13,139.22,256.16,2022-10-16,17:29:07
paleo,pumpkin blondies,american,64.63,236.43,169.61,2022-10-16,17:29:07
paleo,cashew chicken,mediterranean,108.97,137.78,144.37,2022-10-16,17:29:07
paleo,stuffed peppers,italian,135.82,90.19,170.12,2022-10-16,17:29:07
paleo,pizza soup,italian,99.14,770.63,116.36,2022-10-16,17:29:07
paleo,sweet potato salad,south american,41.38,110.47,169.99,2022-10-16,17:29:07
paleo,spaghetti bake,italian,102.94,90.53,142.52,2022-10-16,17:29:07
paleo,plantain falafel,south american,14.12,87.17,14.09,2022-10-16,17:29:07
paleo,tuna burgers,american,120.05,17.93,85.49,2022-10-16,17:29:07
paleo,chilli bowl,italian,20.04,81.07,10.95,2022-10-16,17:29:07
paleo,spaghetti,italian,102.38,62.87,111.67,2022-10-16,17:29:07
paleo,banana bread,american,46.7,127.5,94.72,2022-10-16,17:29:07
paleo,no fail mayo,mediterranean,5.47,1.61,220.1,2022-10-16,17:29:07
paleo,moroccan chicken,middle eastern,238.78,80.5,216.52,2022-10-16,17:29:13
paleo,dump soup,american,192.42,107.77,55.62,2022-10-16,17:29:13
paleo,chicken nuggets,american,112.16,38.87,111.23,2022-10-16,17:29:13
paleo,chili,american,259.74,188.02,173.73,2022-10-16,17:29:13
paleo,banana bread,american,63.87,79.46,151.21,2022-10-16,17:29:13
paleo,artichoke bruschetta,mediterranean,14.74,50.52,54.99,2022-10-16,17:29:13
paleo,pizza,italian,95.14,122.74,168.95,2022-10-16,17:29:13
paleo,seafood gumbo,american,211.09,117.5,66.52,2022-10-16,17:29:13
paleo,zesty meatloaf,american,255.56,60.15,128.16,2022-10-16,17:29:13
paleo,southwest meatloaf,american,146.75,48.65,198.36,2022-10-16,17:29:13
paleo,ingredient low carb clam chowder gluten free,american,114.23,68.24,103.49,2022-10-16,17:29:13
paleo,ropa vieja,caribbean,165.47,187.81,89.37,2022-10-16,17:29:13
paleo,pasta bolognese,italian,162.8,223.06,125.13,2022-10-16,17:29:20
paleo,cuban vaca frita,caribbean,196.62,28.07,103.81,2022-10-16,17:29:20
paleo,dirty rice,caribbean,16.24,49.41,18.3,2022-10-16,17:29:20
paleo,chicken marsala,italian,329.35,110.0,248.22,2022-10-16,17:29:20
paleo,salmon meal prep bowls aip whole,nordic,266.24,71.73,204.75,2022-10-16,17:29:20
paleo,honey garlic glazed pork chops,american,113.13,126.15,46.69,2022-10-16,17:29:20
paleo,profiteroles,french,33.0,201.88,241.51,2022-10-16,17:29:20
paleo,meatloaf apples,american,95.89,31.49,39.27,2022-10-16,17:29:20
paleo,vegetable curry,south east asian,34.06,129.1,103.3,2022-10-16,17:29:20
paleo,broccoli slaw,italian,32.48,57.74,155.95,2022-10-16,17:29:20
paleo,pizza,italian,34.44,206.25,101.83,2022-10-16,17:29:20
paleo,tuna patties,american,121.47,55.66,73.88,2022-10-16,17:29:20
paleo,bacon ranch meatloaf,american,188.15,36.64,270.76,2022-10-16,17:29:20
paleo,caesar salad,american,54.23,296.63,184.04,2022-10-16,17:29:20
paleo,lasagna soup,italian,213.64,480.19,167.62,2022-10-16,17:29:27
paleo,instant pot beef broccoli whole gf,nordic,192.22,71.34,126.24,2022-10-16,17:29:27
paleo,lemon herb garlic chicken,mediterranean,229.75,32.4,304.84,2022-10-16,17:29:27
paleo,picadillo,mediterranean,167.32,112.61,221.8,2022-10-16,17:29:27
paleo,tayste of brussel sprout kale peach salad,mediterranean,68.84,47.85,21.84,2022-10-16,17:29:27
paleo,farmhouse meatloaf,american,172.13,31.99,190.52,2022-10-16,17:29:27
paleo,chicken salad apples almonds,american,240.46,40.33,201.22,2022-10-16,17:29:27
paleo,creamy pumpkin sausage kale soup,american,107.08,92.09,76.81,2022-10-16,17:29:27
paleo,chicken casserole,italian,69.22,63.43,112.03,2022-10-16,17:29:27
paleo,chili,american,141.21,108.72,141.23,2022-10-16,17:29:27
paleo,calorie crepes,french,15.86,103.19,13.94,2022-10-16,17:29:27
paleo,thai green curry guacamole,south east asian,14.23,100.98,68.13,2022-10-16,17:29:27
paleo,enchiladas,mexican,147.34,107.16,233.4,2022-10-16,17:29:27
paleo,gluten free pho slow cooker pulled pork sandwiches,south east asian,360.56,239.96,323.42,2022-10-16,17:29:27
paleo,stuffed peppers,italian,166.76,254.78,178.21,2022-10-16,17:29:27
paleo,minute sorbet,italian,5.57,53.23,36.58,2022-10-16,17:29:34
paleo,lamb stew,mediterranean,160.18,61.01,224.54,2022-10-16,17:29:34
paleo,pumpkin chili,american,95.99,127.2,111.62,2022-10-16,17:29:34
paleo,april s spicy pumpkin soup,american,15.46,181.09,63.21,2022-10-16,17:29:34
paleo,chicken marbella,mediterranean,185.47,111.73,130.32,2022-10-16,17:29:34
paleo,ingredient cr pes,french,15.37,56.89,83.58,2022-10-16,17:29:34
paleo,hearty chili,american,107.05,97.55,65.79,2022-10-16,17:29:34
paleo,chocolate chili,american,183.19,98.27,215.87,2022-10-16,17:29:34
paleo,samosa,mediterranean,50.45,292.24,104.86,2022-10-16,17:29:34
paleo,spicy salmon cakes,nordic,111.33,1.41,90.55,2022-10-16,17:29:34
paleo,cherry ripe,french,68.86,567.7,328.48,2022-10-16,17:29:34
paleo,italian meatballs,italian,285.68,142.68,253.66,2022-10-16,17:29:34
paleo,chipotle chili,american,180.36,96.73,204.05,2022-10-16,17:29:34
paleo,bbq chicken sweet potato skins,american,119.62,218.24,135.41,2022-10-16,17:29:40
paleo,vindaloo,indian,321.93,336.61,105.04,2022-10-16,17:29:40
paleo,chicken mole,italian,97.24,71.3,142.43,2022-10-16,17:29:40
paleo,dreamy hasselback apples,american,11.22,80.87,53.86,2022-10-16,17:29:40
paleo,hamburger soup,american,140.59,254.11,63.22,2022-10-16,17:29:40
paleo,jambalaya,american,127.08,67.44,41.11,2022-10-16,17:29:40
paleo,pad thai,south east asian,66.62,69.34,59.48,2022-10-16,17:29:40
paleo,orange beef,mediterranean,219.95,316.31,165.19,2022-10-16,17:29:40
paleo,mini meatloaves,middle eastern,231.55,43.61,295.86,2022-10-16,17:29:40
paleo,donuts,american,56.41,169.52,179.66,2022-10-16,17:29:40
paleo,cauliflower crunch,nordic,58.01,44.33,67.81,2022-10-16,17:29:40
paleo,coconut walnut squash,american,5.98,54.41,30.59,2022-10-16,17:29:40
paleo,rolls,french,50.08,227.02,94.75,2022-10-16,17:29:40
paleo,hamburg squash,mediterranean,83.33,27.42,105.06,2022-10-16,17:29:40
paleo,day restart,american,18.67,124.0,91.33,2022-10-16,17:29:40
paleo,instant pot sweet potato casserole,south american,39.73,349.82,167.44,2022-10-16,17:29:47
paleo,chili,american,341.92,141.14,392.34,2022-10-16,17:29:47
paleo,pumpkin pie,american,81.77,300.44,215.51,2022-10-16,17:29:47
paleo,orange beef,mediterranean,219.95,316.31,165.19,2022-10-16,17:29:47
paleo,seared scallops sweet corn pur e crumbled bacon tomato chive salsa,south american,48.76,94.38,52.89,2022-10-16,17:29:47
paleo,antipasto salad,italian,72.54,69.05,38.89,2022-10-16,17:29:47
paleo,thai mango sweet potato salad,south east asian,7.93,75.25,27.61,2022-10-16,17:29:47
paleo,pork steaks,french,464.85,89.22,445.73,2022-10-16,17:29:47
paleo,oven pork steaks,mediterranean,464.85,89.22,445.73,2022-10-16,17:29:47
paleo,beef rendang,american,225.77,131.53,157.67,2022-10-16,17:29:47
paleo,steak veggies,american,24.48,13.2,13.09,2022-10-16,17:29:47
paleo,creamy whole potato salad,italian,68.76,203.71,207.16,2022-10-16,17:29:47
paleo,beef chili,american,115.08,137.47,81.33,2022-10-16,17:29:47
paleo,sesame pineapple sausage bites,chinese,5.68,124.15,18.27,2022-10-16,17:29:54
paleo,shepherd s pie,american,183.04,127.54,299.75,2022-10-16,17:29:54
paleo,whole zucchini noodle bake,asian,60.53,42.02,75.73,2022-10-16,17:29:54
paleo,best buckeyes,american,13.78,186.0,111.81,2022-10-16,17:29:54
paleo,gluten free chicken marsala,italian,265.87,68.02,60.11,2022-10-16,17:29:54
paleo,creole apple turkey burgers,american,119.33,32.54,45.24,2022-10-16,17:29:54
paleo,smoky sweet broccoli chicken salad,american,85.42,84.28,124.61,2022-10-16,17:29:54
paleo,slow cooked pork roast,american,298.94,44.15,117.59,2022-10-16,17:29:54
paleo,creamy cashew thai chicken cilantro lime cauliflower rice,south east asian,151.09,115.62,95.11,2022-10-16,17:29:54
paleo,meat pockets from kids cookbook,american,88.91,182.92,186.11,2022-10-16,17:29:54
paleo,eggrolls,french,29.26,76.21,188.09,2022-10-16,17:29:54
paleo,italian primal pizza free range chicken,italian,62.29,93.97,67.14,2022-10-16,17:29:54
paleo,swedish meatballs,nordic,123.49,48.93,150.26,2022-10-16,17:29:54
paleo,slow cooker red pepper paprika chicken,mediterranean,195.64,60.83,39.2,2022-10-16,17:29:54
paleo,orange chicken,french,234.69,98.07,97.05,2022-10-16,17:29:54
paleo,apple meatloaf,american,175.03,199.06,191.3,2022-10-16,17:29:54
paleo,instant pot chicken soup mushrooms kale,french,271.76,95.75,240.31,2022-10-16,17:30:01
paleo,cassava flour tortillas,mexican,0.0,124.8,51.1,2022-10-16,17:30:01
paleo,shepherds pie,american,103.98,191.55,131.64,2022-10-16,17:30:01
paleo,healthy turkey meatloaf,american,105.48,55.14,41.85,2022-10-16,17:30:01
paleo,grass fed bison stuffed peppers,american,170.1,79.27,107.66,2022-10-16,17:30:01
paleo,salmon tacos,nordic,118.62,105.19,115.07,2022-10-16,17:30:01
paleo,shrimp creole gluten free roux,american,198.22,83.15,113.4,2022-10-16,17:30:01
paleo,carrot cake,french,120.47,462.74,758.62,2022-10-16,17:30:01
paleo,beef stroganoff,eastern europe,109.57,33.41,183.38,2022-10-16,17:30:01
paleo,perfect meatballs,french,91.01,61.2,101.35,2022-10-16,17:30:01
paleo,roasted garlic turnip puree chorizo low carb gluten free,french,124.04,80.89,326.42,2022-10-16,17:30:01
paleo,pad thai,south east asian,132.06,82.17,223.93,2022-10-16,17:30:01
paleo,brussels sprout kale slaw,central europe,38.53,163.13,124.5,2022-10-16,17:30:07
paleo,spaghetti carbonara style,italian,45.08,47.92,167.43,2022-10-16,17:30:07
paleo,chocolate protein truffles,american,29.5,12.09,17.69,2022-10-16,17:30:07
paleo,pizza crust,italian,31.08,121.36,58.78,2022-10-16,17:30:07
paleo,avocado cucumber salad,mediterranean,15.8,81.26,74.48,2022-10-16,17:30:07
paleo,slow cooker pumpkin salsa shredded beef,mexican,199.83,31.93,57.61,2022-10-16,17:30:07
paleo,najibs special lebanese cauliflower,mediterranean,17.38,56.94,27.53,2022-10-16,17:30:07
paleo,hash browns,south american,4.78,114.92,36.36,2022-10-16,17:30:07
paleo,gluten free beef bourguignon beef burgundy,french,331.01,124.34,96.36,2022-10-16,17:30:07
paleo,tomato avocado burgers low carb gluten free,american,90.67,45.15,135.0,2022-10-16,17:30:07
paleo,chocolate protein truffles,american,29.51,19.72,17.74,2022-10-16,17:30:07
paleo,stuffed pork tenderloin,american,197.23,51.76,48.64,2022-10-16,17:30:07
paleo,chicken fajitas,mexican,55.21,41.5,49.55,2022-10-16,17:30:07
paleo,prawn cocktail,american,69.5,10.88,82.21,2022-10-16,17:30:07
paleo,lemon curd,french,15.41,94.7,15.33,2022-10-16,17:30:07
paleo,grain free double chocolate banana bread,american,73.61,224.75,186.62,2022-10-16,17:30:14
paleo,clafoutis mom,french,23.78,170.14,105.78,2022-10-16,17:30:14
paleo,hawaiian chicken,south east asian,153.03,132.16,79.17,2022-10-16,17:30:14
paleo,creamy artichoke chicken,mediterranean,294.34,167.48,152.06,2022-10-16,17:30:14
paleo,fluffy cauliflower mash,american,16.37,41.77,25.39,2022-10-16,17:30:14
paleo,shepards pie,american,187.09,160.46,263.51,2022-10-16,17:30:14
paleo,coconut lemon cake,american,29.46,120.26,73.21,2022-10-16,17:30:14
paleo,best tortillas taco shells nachos,mexican,57.32,98.71,161.51,2022-10-16,17:30:14
paleo,homemade protein bars,american,88.19,289.27,122.03,2022-10-16,17:30:14
paleo,spaghetti squash primavera,italian,16.53,88.52,32.47,2022-10-16,17:30:14
paleo,easiest ice cream,american,6.07,82.98,25.25,2022-10-16,17:30:14
paleo,chocolate chip scones,american,37.98,145.35,114.58,2022-10-16,17:30:14
paleo,sriracha ranch cobb salad,american,117.7,21.91,154.52,2022-10-16,17:30:14
paleo,garlic mashed cauliflower,mediterranean,11.29,29.24,47.61,2022-10-16,17:30:14
paleo,spiced vanilla pumpkin milk steamer,american,21.95,105.25,20.23,2022-10-16,17:30:14
paleo,delicious chocolate muffins,american,30.08,120.13,124.29,2022-10-16,17:30:14
paleo,plantain fries,south american,4.65,114.17,29.32,2022-10-16,17:30:21
paleo,lunch ideas,italian,17.11,89.38,32.11,2022-10-16,17:30:21
paleo,paella,mediterranean,165.01,120.66,192.24,2022-10-16,17:30:21
paleo,blueberry macadamia yoghurt bark,french,24.89,74.19,67.42,2022-10-16,17:30:21
paleo,baked vanilla donuts,american,40.41,91.57,140.95,2022-10-16,17:30:21
paleo,cauliflower rice,mediterranean,16.4,43.41,29.44,2022-10-16,17:30:21
paleo,homemade chocolates,french,12.69,108.27,172.4,2022-10-16,17:30:21
paleo,chocolate snack cake,american,38.57,266.83,135.99,2022-10-16,17:30:21
paleo,baked chicken wings sweet spicy,south american,241.71,22.98,252.73,2022-10-16,17:30:21
paleo,best ketchup,italian,18.58,96.02,16.04,2022-10-16,17:30:21
paleo,power baked cauliflower,american,20.54,52.74,73.87,2022-10-16,17:30:21
paleo,chicken fingers,italian,70.92,198.74,61.64,2022-10-16,17:30:21
paleo,zucchini noodles shrimp,asian,103.79,39.61,46.35,2022-10-16,17:30:21
paleo,plantain fries whole,south american,4.65,114.17,29.32,2022-10-16,17:30:28
paleo,peach cobbler,british,18.73,161.9,29.61,2022-10-16,17:30:28
paleo,chick fil,american,102.57,17.37,139.06,2022-10-16,17:30:28
paleo,bean free chili,american,168.33,61.1,198.81,2022-10-16,17:30:28
